anime_id,title,type,source,episodes,aired,duration,rating,score,scored_by,rank,popularity,members,producer,licensor,studio,genre,opening_theme,ending_theme
4814,Junjou Romantica 2,TV,Manga,12,"{'from': '2008-10-12', 'to': '2008-12-28'}",24 min. per ep.,PG-13 - Teens 13 or older,8.15,66565,374.0,799,108186,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,"Comedy, Drama, Romance, Shounen Ai","['""Shōdō (衝動)"" by Pigstar']","['""Aioi (相生-アイオイ-)"" by JUNED']"
7054,Kaichou wa Maid-sama!,TV,Manga,26,"{'from': '2010-04-02', 'to': '2010-09-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.2,315130,314.0,71,531292,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,"Comedy, Romance, School, Shoujo","['""My Secret"" by Saaya Mizuno (水野佐彩)']","['#1: ""Yokan (予感)"" by heidi. (eps 1-15)', '#2: ""∞ Loop (∞ループ)"" by heidi. (eps 16-26)']"
11123,Sekaiichi Hatsukoi 2,TV,Manga,12,"{'from': '2011-10-08', 'to': '2011-12-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.23,53285,288.0,945,89543,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Funimation,Studio Deen,"Comedy, Drama, Romance, Shounen Ai","['""Sekai no Hate ni Kimi ga Itemo"" (世界の果てに君がいても) by Shuhei Kita']","['""Aikotoba"" (アイコトバ) by Sakura Merry-Men']"
14227,Tonari no Kaibutsu-kun,TV,Manga,13,"{'from': '2012-10-02', 'to': '2012-12-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.71,281448,1093.0,88,482105,"TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha","NIS America, Inc.",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo","['""Q&A Recital! (Q&A リサイタル!)"" by Haruka Tomatsu']","['""White Wishes"" by 9nine']"
269,Bleach,TV,Manga,366,"{'from': '2004-10-05', 'to': '2012-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,7.9,433097,693.0,18,819284,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen","['#01: ""*~Asterisk~ (*～アスタリスク～)"" by Orange Range (eps 1-25)', '#02: ""D-tecnolife"" by UVERworld (eps 26-51)', '#03: ""Ichirin no Hana (一輪の花)"" by High and Mighty Color (eps 52-74)', '#04: ""Tonight, Tonight, Tonight"" by Beat Crusaders (eps 75-97)', '#05: ""Rolling star"" by YUI (eps 98-120)', '#06: ""ALONES"" by Aqua Timez (eps 121-143)', '#07: ""After Dark (アフターダーク)"" by Asian Kung-Fu Generation (eps 144-167)', '#08: ""CHU-BURA"" by Kelun (eps 168-189)', '#09: ""Velonica"" by Aqua Timez (eps 190-214)', '#10: ""Shoujo S (少女S)"" by Scandal (eps 215-242)', '#11: ""Anima Rossa (アニマロッサ)"" by Porno Graffitti (eps 243-265)', '#12: ""chAngE"" by miwa (eps 266-291)', '#13: ""Ranbu no Melody (乱舞のメロディ)"" by SID (eps 292-316)', '#14: ""BLUE"" by ViViD (eps 317-342)', '#15: ""HARUKAZE"" by Scandal (eps 343-366)']","['#01: ""Life is Like a Boat"" by Rie Fu (eps 1-13)', '#02: ""Thank You!! (サンキュー!!)"" by HOME MADE KAZOKU (eps 14-25)', '#03: ""Houkiboshi (ほうき星)"" by Younha (eps 26-38)', '#04: ""Happy People"" by Skoop on Somebody (eps 39-51)', '#05: ""Life"" by YUI (eps 52-63)', '#06: ""My Pace (マイペース)"" by SunSet Swish (eps 64-74)', '#07: ""Hanabi"" by Ikimonogakari (eps 75-86)', '#08: ""MOVIN!!"" by Takacha (eps 87-97)', '#09: ""Baby It&#039;s You"" by JUNE (eps 98-109)', '#10: ""Sakura Biyori (桜日和)"" by Mai Hoshimura (eps 110-120)', '#11: ""Tsumasaki (爪先)"" by Ore Ska Band (eps 121-131)', '#12: ""Daidai (橙)"" by chatmonchy (eps 132-143)', '#13: ""Tane wo Maku Hibi (種をまく日々)"" by Atari Kousuke (eps 144-154)', '#14: ""Kansha. (感謝.)"" by RSP a.k.a Real Street Project (eps 155-167)', '#15: ""Orange (オレンジ)"" by Lil&#039;B a.k.a MIE&AILA (eps 168-179)', '#16: ""Gallop (ギャロップ)"" by pe&#039;zmoku (eps 180-189)', '#17: ""Hitohira no Hanabira (ヒトヒラのハナビラ)"" by STEREOPONY (eps 190-201)', '#18: ""Sky Chord ~Otona ni Naru Kimi he~ (Sky chord~大人になる君へ~)"" by Tsuji Shion (eps 202-214)', '#19: ""Kimi wo Mamotte, Kimi wo Aishite (君を守って, 君を愛して)"" by Sambomaster (eps 215-229)', '#20: ""Mad Surfer"" by Kenichi Asai (eps 230-242)', '#21: ""Sakurabito (さくらびと)"" by SunSet Swish (eps 243-255)', '#22: ""Tabidatsu Kimi e (旅立つキミへ)"" by RSP (eps 256-265)', '#23: ""Stay Beautiful"" by Diggy-MO&#039; (eps 266-278)', '#24: ""Echoes"" by universe (eps 279-291)', '#25: ""Last Moment"" by SPYAIR (eps 292-303)', '#26: ""Song for..."" by ROOKiEZ is PUNK’D (eps 304-316)', '#27: ""Aoi Tori (アオイトリ)"" by fumika (eps 317-329)', '#28: ""Haruka Kanata (ハルカカナタ)"" by UNLIMITS (eps 330-342)', '#29: ""Re:pray"" by Aimer (eps 343-354)', '#30: ""Mask"" by Aqua Timez (eps 355-366)']"
59,Chobits,TV,Manga,26,"{'from': '2002-04-03', 'to': '2002-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.53,175388,1546.0,188,317641,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen","['""Let Me Be With You"" by ROUND TABLE feat. Nino']","['#1: ""Raison d&#039;Être"" by Rie Tanaka (eps 1-12)', '#2: ""Ningyohime"" by Rie Tanaka (eps 13-25)', '#3: ""Katakoto no Koi (duet ver.)"" by Rie Tanaka and Tomokazu Sugita (ep 26)']"
6045,Kimi ni Todoke,TV,Manga,25,"{'from': '2009-10-07', 'to': '2010-03-31'}",22 min. per ep.,PG-13 - Teens 13 or older,8.13,212710,400.0,111,417136,"VAP, Nippon Television Network, Shueisha","NIS America, Inc.",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo","['""Kimi ni Todoke (きみにとどけ)"" by Tanizawa Tomofumi']","['""Kataomoi (片想い)"" by Chara']"
1735,Naruto: Shippuuden,TV,Manga,500,"{'from': '2007-02-15', 'to': '2017-03-23'}",23 min. per ep.,PG-13 - Teens 13 or older,8.18,385179,337.0,20,794112,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",Viz Media,Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen","['#01: ""Hero&#039;s Come Back"" by Nobodyknows+ (eps 1-30)', '#02: ""distance"" by LONG SHOT PARTY (eps 31-53)', '#03: ""Blue Bird (ブルーバード)"" by Ikimonogakari (eps 54-77)', '#04: ""CLOSER"" by Inoue Joe (eps 78-102)', '#05: ""Hotaru no Hikari (ホタルノヒカリ)"" by Ikimonogakari (eps 103-128)', '#06: ""Sign"" by FLOW (eps 129-153)', '#07: ""Toumei Datta Sekai (透明だった世界)"" by Motohiro Hata (eps 154-179)', '#08: ""Diver"" by NICO Touches the Walls (eps 180-205)', '#09: ""Lovers (ラヴァーズ)"" by 7!! (eps 206-230)', '#10: ""newsong"" by tacica (eps 231-256)', '#11: ""Totsugeki Rock (突撃ロック)"" by THE CRO-MAGNONS (eps 257-281)', '#12: ""Moshimo"" by Daisuke (eps 282-306)', '#13: ""Niwaka Ame Nimo Makezu (ニワカ雨ニモ負ケズ)"" by NICO Touches the Walls (eps 307-332)', '#14: ""Tsuki no Ookisa (月の大きさ)"" by Nogizaka46 (eps 333-356)', '#15: ""Guren"" by DOES (eps 357-379)', '#16: ""Silhouette (シルエット)"" by KANA-BOON (eps 380-405)', '#17: ""Kaze (風)"" by Yamazaru (eps 406-431)', '#18: ""LINE"" by Sukima Switch (eps 432-458)', '#19: ""Blood Circulator (ブラッドサーキュレーター)"" by Asian Kung-Fu Generation (eps 459-479)', '#20: ""Kara no Kokoro (カラノココロ)"" by Anly (eps 480-500)']","['#01: ""Nagare Boshi ~Shooting Star~ (流れ星〜Shooting Star〜)"" by HOME MADE Kazoku (eps 1-18)', '#02: ""Michi ~to you all (道 〜to you all)"" by aluto (eps 19-30)', '#03: ""KIMI MONOGATARI (キミモノガタリ)"" by little by little (eps 31-41)', '#04: ""Mezamero! Yasei (目覚めろ!野性)"" by MATCHY with QUESTION? (eps 42-52)', '#05: ""Sunao na Niji (素直な虹)"" by surface (eps 54-63)', '#06: ""BROKEN YOUTH"" by Nico Touches the Walls (eps 64-77)', '#07: ""Long Kiss Goodbye"" by HALCALI (eps 78-90)', '#08: ""BACCHIKOI!!! (バッチコイ!!!)"" by DEV PARADE (eps 91-102)', '#09: ""Shinkokyuu (深呼吸)"" by SUPER BEAVER (eps 103-115)', '#10: ""My ANSWER"" by SEAMO (eps 116-128)', '#11: ""Omae Dattanda (おまえだったんだ)"" by Kishidan (eps 129-141)', '#12: ""For You"" by AZU (eps 142-153)', '#13: ""Jitensha (自転車)"" by OreSkaBand (eps 154-166)', '#14: ""Utakata Hanabi (うたかた花火)"" by supercell (eps 167-179)', '#15: ""U can do it!"" by DOMINO (eps 180-192)', '#16: ""Mayonaka no Orchestra (真夜中のオーケストラ)"" by Aqua Timez (eps 193-205)', '#17: ""FREEDOM"" by HOME MADE Kazoku (eps 206-218)', '#18: ""Yokubou o Sakebe!!!! (欲望を叫べ!!!!)"" by OKAMOTO&#039;S (eps 219-230)', '#19: ""Place to Try"" by TOTALFAT (eps 231-242)', '#20: ""By My Side (バイマイサイド)"" by Hemenway (eps 243-256)', '#21: ""Cascade (カスケード)"" by UNLIMITS (eps 257-268)', '#22: ""Kono Koe Karashite (この声枯らしてfeat. CHEHON)"" by AISHA feat. CHEHON (eps 269-281)', '#23: ""MOTHER"" by MUCC (eps 282-295)', '#24: ""Sayonara Memory (さよならメモリー)"" by 7!! (eps 296-306)', '#25: ""I Can Hear"" by DISH// (eps 307-319)', '#26: ""Yume wo Daite ~Hajimari no Crissroad~ (夢を抱いて〜はじまりのクリスロード〜)"" by Rake (eps 320-332)', '#27: ""Black Night Town (ブラックナイトタウン)"" by Akihisa Kondou (eps 333-343)', '#28: ""Niji (虹)"" by Shinkuu Horou (真空ホロウ) (eps 344-356)', '#29: ""FLAME"" by DISH// (eps 357-366)', '#30: ""Never Change feat.Lyu:Lyu"" by SHUN (eps 367-379)', '#31: ""Dame Dame da (だめだめだ)"" by Shiori Tomita (eps 380-393)', '#32: ""Spinning World"" by Diana Garnet (eps 394-405)', '#33: ""Kotoba no Iranai Yakusoku (言葉のいらない約束)"" by sana (eps 406-417)', '#34: ""Niji no Sora (虹の空)"" by FLOW (eps 418-431)', '#35: ""Trouble Maker (トラブルメイカー)"" by KANIKAPILA (eps 432-443)', '#36: ""Sonna Kimi, Konna Boku (そんな君、こんな僕)"" by Thinking Dogs (eps 444-454)', '#37: ""Ao no Lullaby (青のララバイ)"" by Kuroneko Chelsea (eps 455-466)', '#38: ""Pino to Amélie (ピノとアメリ)"" by Huwie Ishizaki (eps 467-479)', '#39: ""Tabidachi no Uta (旅立ちの唄)"" by Ayumikurikamaki (eps 480-488)', '#40: ""Zetsu Zetsu (『絶絶（ぜつぜつ）)"" by Swimy (eps 489-500)']"
210,Ranma ½,TV,Manga,161,"{'from': '1989-04-15', 'to': '1992-09-25'}",24 min. per ep.,R+ - Mild Nudity,7.85,59911,802.0,623,134537,"Shogakukan Productions, Kitty Films, Fuji TV, Shogakukan",Viz Media,Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy","['#1: ""Jaja Uma ni Sasenai de"" by Etsuko Nishio (eps 1-18).', '#2: ""Little ★ Date"" by ribbon (eps 25-41).', '#3: ""Omoide ga Ippai"" by CoCo (eps 42-63).', '#4: ""Zettai! Part 2"" by Yoshie Hayasaka (eps 64-87).', '#5: ""Chikyuu Orchestra"" by KUSUKUSU (eps 88-117).', '#6: ""Mou Nakanaide"" by Azusa Senou (eps 118-135).', '#7: ""Love Seeker CAN&#039;T STOP IT"" by VisioN (eps 136-161).']","['#1: ""Platonic Tsuranuite"" by Kaori Sakagami (eps 1-13).', '#2: ""Equal Romance"" by CoCo (eps 14-18).', '#3: ""〜Don&#039;t mind lay-lay Boy〜"" by Etsuko Nishio (eps 19-30).', '#4: ""Lambada☆RANMA"" by The Ranma 1/2 Operatic Troupe (eps 42-56).', '#5: ""Present"" by Tokyo Shounen (eps 57-72).', '#6: ""Friends"" by YAWMIN (eps 73-87).', '#7: ""Hinageshi"" by Michiyo Nakajima (eps 88-117).', '#8: ""POSITIVE"" by Miho Morikawa (eps 118-135).', '#9: ""Niji to Taiyou no Oka"" by Piyo Piyo (eps 136-161).']"
4224,Toradora!,TV,Light novel,25,"{'from': '2008-10-02', 'to': '2009-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,8.39,557898,174.0,13,910373,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music","NIS America, Inc.",J.C.Staff,"Slice of Life, Comedy, Romance, School","['#1: ""Pre-Parade (プレパレード)"" by Rie Kugimiya, Yui Horie, and Eri Kitamura (eps 1-16)', '#2: ""silky heart"" by Yui Horie (eps 17-24)']","['#1: ""Vanilla Salt (バニラソルト)"" by Yui Horie (eps 1-16)', '#2: ""Orange (オレンジ)"" by Rie Kugimiya, Yui Horie, and Eri Kitamura (eps 17-18, 20-25)', '#3: ""Holy Night (ホーリーナイト)"" by Rie Kugimiya and Eri Kitamura (ep 19)']"
10030,Bakuman. 2nd Season,TV,Manga,25,"{'from': '2011-10-01', 'to': '2012-03-24'}",24 min. per ep.,PG-13 - Teens 13 or older,8.49,122090,108.0,374,201720,"NHK, Shueisha",Media Blasters,J.C.Staff,"Comedy, Drama, Romance, Shounen","['""Dream of Life"" by Shohei Itou (伊藤祥平)']","['#1: ""monochrome rainbow"" by Tommy heavenly6 (eps 1-16)', '#2: ""Parallel= (パラレル＝)"" by Fumiya Sashida (指田郁也) (eps 17-24)', '#3: ""Dream of Life"" by Shohei Itou (伊藤祥平) (ep 25)']"
74,Gakuen Alice,TV,Manga,26,"{'from': '2004-10-30', 'to': '2005-05-14'}",25 min. per ep.,G - All Ages,7.77,33244,941.0,1291,62951,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,"Comedy, School, Shoujo, Super Power","['""Pikapika no Taiyou"" by Ueda, Kana']","['""Shiawase no Niji"" by Ueda Kana & Kugimiya Rie']"
4722,Skip Beat!,TV,Manga,25,"{'from': '2008-10-06', 'to': '2009-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.24,90699,282.0,488,164738,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Pied Piper,Hal Film Maker,"Comedy, Drama, Romance, Shoujo","['#1: ""Dream Star"" by the generous (ep 1-19)', '#2: ""Renaissance"" by the generous (ep 20-25)']","['#1: ""Namida (ナミダ)"" by 2BACKKA (ep 1-19)', '#2: ""Eien （永遠）"" by Yuusaku Kiyama (ep 20-24)', '#3: ""Dream Star"" by the generous (ep. 25)']"
14397,Chihayafuru 2,TV,Manga,25,"{'from': '2013-01-12', 'to': '2013-06-29'}",22 min. per ep.,PG-13 - Teens 13 or older,8.47,62720,116.0,757,114340,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports","['""STAR"" by 99RadioService']","['#1: ""Akanezora (茜空)"" by Asami Seto (eps 1-24)', '#2: ""YOUTHFUL ~from Studio Yamato~"" by 99RadioService (ep 25)']"
1557,Shounen Onmyouji,TV,Light novel,26,"{'from': '2006-10-03', 'to': '2007-03-13'}",23 min. per ep.,PG-13 - Teens 13 or older,7.68,14619,1158.0,1793,39422,"Sotsu, Marine Entertainment","Funimation, Geneon Entertainment USA",Studio Deen,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo","['""Egao no Wake"" by Kaori Hikita']","['#1: ""Yakusoku"" by Saori Kiuji', '#2: ""Roku Tousei"" by Kaida Yuki (ep 26)']"
10800,Chihayafuru,TV,Manga,25,"{'from': '2011-10-05', 'to': '2012-03-28'}",22 min. per ep.,PG-13 - Teens 13 or older,8.29,89081,246.0,348,213902,"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports","['""YOUTHFUL"" by 99RadioService']","['#1: ""Soshite Ima (そしていま)"" by Asami Seto (eps 1-24)', '#2: ""YOUTHFUL ~from Studio Yamato~"" by 99RadioService (ep 25)']"
3731,Itazura na Kiss,TV,Manga,25,"{'from': '2008-04-05', 'to': '2008-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,7.7,91187,1108.0,473,170224,"Bandai Visual, Trinity Sound",Discotek Media,TMS Entertainment,"Comedy, Romance, Shoujo","['""Kimi, Meguru, Boku (キミ、メグル、ボク)"" by Motohiro Hata']","['#1: ""Kataomoi Fighter (片思いファイター)"" by GO!GO!7188 (eps 1-12)', '#2: ""Jikan yo Tomare"" by AZU (eps 13-23)', '#3: ""Kimi, Meguru, Boku (キミ、メグル、ボク)"" by Motohiro Hata (ep 24)']"
9513,Beelzebub,TV,Manga,60,"{'from': '2011-01-09', 'to': '2012-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.02,136105,528.0,208,302082,"Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen","['#1: ""Dadada"" by GROUP Tamashii (eps 1-10)', '#2: ""Hajimaru no wa, Sayonara"" by ON/OFF (eps 11-23)', '#3: ""Hey!!!"" by FLOW (eps 24-35)', '#4: ""Baby U!"" by MBLAQ (eps 36-48)', '#5: ""Only you- Kimi tono Kizuna -"" by Lc5 (eps 49-60)']","['#1: ""Answer"" by NO3B (eps 1-10)', '#2: ""Tsuyogari"" by Shoko Nakagawa (eps 11-23)', '#3: ""Nanairo Namida"" by Tomato n&#039; Pine (eps 24-35)', '#4: ""Papepipu♪ Papipepu♪ Papepipupo♪"" by Sasaki Nozomi (eps 36-48)', '#5: ""Shojo Traveler"" by 9nine (eps 49-59)', '#6: ""Dadada"" by GROUP Tamashii (ep 60)']"
5835,Hanasakeru Seishounen,TV,Manga,39,"{'from': '2009-04-05', 'to': '2010-02-14'}",24 min. per ep.,PG-13 - Teens 13 or older,7.87,16772,753.0,1654,44633,,,Studio Pierrot,"Drama, Romance, Shoujo","['""Change"" by J-Min']","['""One"" by J-Min']"
9863,SKET Dance,TV,Manga,77,"{'from': '2011-04-07', 'to': '2012-09-27'}",24 min. per ep.,PG-13 - Teens 13 or older,8.33,44132,213.0,646,130264,"TV Tokyo, Avex Entertainment, Dentsu",,Tatsunoko Production,"Comedy, School, Shounen","['#01: ""Kakko Warui I love you! (カッコ悪いI love you!)"" by French Kiss (eps 2-17)', '#02: ""Michi (道)"" by The Sketchbook (eps 18-26)', '#03: ""Graffiti"" by Gackt (eps 27-39)', '#04: ""Message"" by The Sketchbook (eps 40-46, 48-51)', '#05: ""Reboot"" by everset (eps 53-63)', '#06: ""Clear"" by The Sketchbook (eps 65-76)']","['#01: ""Kakko Warui I love you! (カッコ悪いI love you!)"" by French Kiss (ep 1, 51)', '#02: ""Comic Sonic"" by The Pillows (eps 2-16)', '#03: ""Funny Bunny (Rock Stock Version)"" by The Pillows (ep 17)', '#04: ""Clover (クローバー)"" by The Sketchbook (eps 18-24, 26)', '#05: ""Kioku (キヲク)"" by The Sketchbook (eps 25)', '#06: ""Milk to Chocolate (ミルクとチョコレート)"" by ChocoLe (eps 27-36, 38-39)', '#07: ""HERO"" by The Sketchbook (ep 37)', '#08: ""Party! Hallelujah! (パーリー!ハレルヤ!)"" by SKET ROCK (Yusuke Fujisaki [CV: Hiroyuki Yoshino], Sasuke Tsubaki [CV: Hiro Shimono], Kazuyoshi Usui [CV: Tomokazu Sugita], Soujirou Agata [CV: Tomokazu Seki]) (eps 40-46, 49-50)', '#09: ""Message"" by The Sketchbook (ep 47)', '#10: ""Birthday"" by The Sketchbook (ep 48)', '#11: ""Colors"" by The Sketchbook (ep 52-61, 63)', '#12: ""Sekai wa Okujou de Miwataseta (世界は屋上で見渡せた)"" by SKET x Sketch (eps 65-69, 71-72, 74-75)', '#13: ""Sekai wa Okujou de Miwataseta: Gasshou Ver. (世界は屋上で見渡せた ~合唱 Ver.~)"" by Kaimei Gakuen Seitokai Shikko-bu (開盟学園生徒会執行部) (ep 70)', '#14: ""Startup"" by The Sketchbook (ep 77)']"
7817,B-gata H-kei,TV,4-koma manga,12,"{'from': '2010-04-02', 'to': '2010-06-18'}",24 min. per ep.,R+ - Mild Nudity,7.1,142827,3193.0,285,244791,"Dentsu, AT-X, DAX Production, Happinet Pictures, BIGLOBE, Shueisha, AG-ONE, RAY",Funimation,"Hal Film Maker, TYO Animations","Comedy, Romance, Ecchi, School, Seinen","['""Oshiete A to Z (おしえて A to Z)"" by Yukari Tamura']","['#1: ""Hadashi no Princess (裸足のプリンセス)"" by Yukari Tamura (eps 1-11)', '#2: ""Oshiete A to Z (おしえて A to Z)"" by Yukari Tamura (ep 12)']"
